Dataset,Group,Seq,th,ACC,PREC,Rec,F1(macro),F1(weighted),AUC,ASA,FAR
Darknet2020,DK_EXP2_DRIFT1,10,0.380089,0.9911,0.5,0.4955,0.4978,0.9955,0.5,0,0.0089
Darknet2020,DK_EXP3_DRIFT2,10,0.450986,0.9196,0.3333,0.3065,0.3194,0.9581,0.5,0,0.0804
Darknet2020,DK_EXP4_NOEDGE,10,0.361763,0.9911,0.5,0.4955,0.4978,0.9955,0.5,0,0.0089
Darknet2020,DK_EXP1_BASE,10,0.490923,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP2_DRIFT1,10,0.327651,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP3_DRIFT2,10,0.414847,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP4_NOEDGE,10,0.484997,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP1_BASE,10,0.403156,0.9294,0.5,0.4647,0.4817,0.9634,0.5,0,0.0706
Darknet2020,DK_EXP2_DRIFT1,10,0.416544,0.9882,0.5,0.4941,0.497,0.9941,0.5,0,0.0118
Darknet2020,DK_EXP3_DRIFT2,10,0.336099,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP4_NOEDGE,10,0.412487,0.0235,0.3333,0.0078,0.0153,0.046,0.5,0,0.9765
Darknet2020,DK_EXP1_BASE,10,0.15146,0.9896,0.9207,0.9679,0.9398,0.9898,0.9995,0.9551,0.0043
Darknet2020,DK_EXP2_DRIFT1,10,0.199951,0.991,0.948,0.9579,0.9528,0.991,0.9998,0.9905,0.0089
Darknet2020,DK_EXP3_DRIFT2,10,0.123778,0.9915,0.9139,0.9664,0.935,0.9917,0.9997,0.9848,0.0074
Darknet2020,DK_EXP4_NOEDGE,10,0.031694,0.9904,0.9122,0.9729,0.9359,0.9906,0.9996,0.9868,0.0089
ISCX2012,IS_EXP1_BASE,10,0.007743,0.9709,0.6543,0.9765,0.7275,0.9783,0.9863,0.9822,0.0292
ISCX2012,IS_EXP2_TINY,10,0.0031,0.962,0.626,0.9643,0.6903,0.9727,0.9851,0.9667,0.0381
ISCX2012,IS_EXP3_REG,10,0.281418,0.9831,0.6231,0.5742,0.5922,0.981,0.9493,0.1542,0.0059
ISCX2012,IS_EXP4_NOCL,10,0.121238,0.9857,0.7371,0.9305,0.8044,0.9878,0.9933,0.8737,0.0128
IDS2017,IDS_EXP1_BASE,10,0.442012,0.9978,0.7909,0.8247,0.7894,0.9982,0.9991,0.9979,0.0022
IDS2017,IDS_EXP2_MAXCL,10,0.048101,0.9974,0.722,0.7637,0.7235,0.9979,0.9975,0.9987,0.0029
IDS2017,IDS_EXP3_SMALLH,10,0.205785,0.9964,0.7264,0.8542,0.7673,0.9968,0.9999,0.9977,0.0039
IDS2017,IDS_EXP4_NOCL,10,0.622902,0.9958,0.7006,0.7547,0.7036,0.9958,0.9795,0.9891,0.0025
IDS2017,IDS_EXP5_DROP,10,0.245879,0.9965,0.7955,0.7984,0.7533,0.9964,0.9995,0.9923,0.0025
NB15,NB_EXP1_BASE,10,0.916497,0.9708,0.4733,0.6562,0.5093,0.9751,0.9964,0.7961,0.022
NB15,NB_EXP2_LONGK,10,0.925516,0.97,0.4861,0.6469,0.5201,0.9747,0.9965,0.8031,0.0231
NB15,NB_EXP3_STRONG,10,0.916848,0.9698,0.482,0.6455,0.5132,0.9744,0.9964,0.7979,0.0231
NB15,NB_EXP4_NOATT,10,0.934448,0.9692,0.4863,0.6285,0.5043,0.974,0.9962,0.7909,0.0234
NB15,NB_EXP5_LONGSEQ,20,0.918488,0.9699,0.4841,0.6487,0.5154,0.9746,0.9963,0.7972,0.0229
,,Seq,th,ACC,PREC,Rec,F1(macro),F1(weighted),AUC,ASA,FAR
